readEvent,writeEvent,time(s)
0,0,0,5e-08
0,6.66667e+06,6.66667e+06,2e-07
0,6.66667e+06,6.66667e+06,3.5e-07
3.33333e+06,0,3.33333e+06,5e-07
0,1.33333e+07,1.33333e+07,6.5e-07
0,0,0,8e-07
3.33333e+06,0,3.33333e+06,9.5e-07
0,0,0,1.1e-06
0,6.66667e+06,6.66667e+06,1.25e-06
3.33333e+06,0,3.33333e+06,1.4e-06
3.33333e+06,0,3.33333e+06,1.55e-06
0,0,0,1.7e-06
0,6.66667e+06,6.66667e+06,1.85e-06
3.33333e+06,0,3.33333e+06,2e-06
3.33333e+06,6.66667e+06,1e+07,2.15e-06
0,0,0,2.3e-06
0,6.66667e+06,6.66667e+06,2.45e-06
0,6.66667e+06,6.66667e+06,2.6e-06
0,6.66667e+06,6.66667e+06,2.75e-06
0,0,0,2.9e-06
3.33333e+06,0,3.33333e+06,3.05e-06
0,0,0,3.2e-06
3.33333e+06,0,3.33333e+06,3.35e-06
0,6.66667e+06,6.66667e+06,3.5e-06
3.33333e+06,0,3.33333e+06,3.65e-06
0,0,0,3.8e-06
0,6.66667e+06,6.66667e+06,3.95e-06
0,0,0,4.1e-06
0,6.66667e+06,6.66667e+06,4.25e-06
0,0,0,4.4e-06
0,6.66667e+06,6.66667e+06,4.55e-06
0,6.66667e+06,6.66667e+06,4.7e-06
3.33333e+06,0,3.33333e+06,4.85e-06
0,0,0,5e-06
0,6.66667e+06,6.66667e+06,5.15e-06
3.33333e+06,0,3.33333e+06,5.3e-06
0,0,0,5.45e-06
0,0,0,5.6e-06
0,6.66667e+06,6.66667e+06,5.75e-06
3.33333e+06,0,3.33333e+06,5.9e-06
0,6.66667e+06,6.66667e+06,6.05e-06
0,0,0,6.2e-06
0,6.66667e+06,6.66667e+06,6.35e-06
3.33333e+06,0,3.33333e+06,6.5e-06
3.33333e+06,0,3.33333e+06,6.65e-06
0,0,0,6.8e-06
3.33333e+06,0,3.33333e+06,6.95e-06
0,6.66667e+06,6.66667e+06,7.1e-06
0,6.66667e+06,6.66667e+06,7.25e-06
0,0,0,7.4e-06
0,6.66667e+06,6.66667e+06,7.55e-06
0,6.66667e+06,6.66667e+06,7.7e-06
0,6.66667e+06,6.66667e+06,7.85e-06
0,0,0,8e-06
0,6.66667e+06,6.66667e+06,8.15e-06
3.33333e+06,0,3.33333e+06,8.3e-06
0,6.66667e+06,6.66667e+06,8.45e-06
3.33333e+06,0,3.33333e+06,8.6e-06
0,6.66667e+06,6.66667e+06,8.75e-06
0,0,0,8.9e-06
0,0,0,9.05e-06
0,6.66667e+06,6.66667e+06,9.2e-06
0,0,0,9.35e-06
3.33333e+06,0,3.33333e+06,9.5e-06
3.33333e+06,0,3.33333e+06,9.65e-06
0,0,0,9.8e-06
