top.pd1.cpu0,time(s)
1.8e-05,0,1e-06
1.8e-05,0,4e-06
1.8e-05,0,7e-06
1.23e-05,0,1e-05
9e-07,0,1.3e-05
1.23e-05,0,1.6e-05
1.23e-05,0,1.9e-05
9e-07,0,2.2e-05
9e-07,0,2.5e-05
9e-07,0,2.8e-05
9e-07,0,3.1e-05
9e-07,0,3.4e-05
9e-07,0,3.7e-05
9e-07,0,4e-05
9e-07,0,4.3e-05
9e-07,0,4.6e-05
9e-07,0,4.9e-05
9e-07,0,5.2e-05
1.23e-05,0,5.5e-05
1.8e-05,0,5.8e-05
1.8e-05,0,6.1e-05
1.8e-05,0,6.4e-05
1.8e-05,0,6.7e-05
1.8e-05,0,7e-05
1.8e-05,0,7.3e-05
1.8e-05,0,7.6e-05
1.8e-05,0,7.9e-05
1.8e-05,0,8.2e-05
1.8e-05,0,8.5e-05
1.8e-05,0,8.8e-05
1.8e-05,0,9.1e-05
1.8e-05,0,9.4e-05
1.8e-05,0,9.7e-05
6.6e-06,0,0.0001
9e-07,0,0.000103
9e-07,0,0.000106
9e-07,0,0.000109
9e-07,0,0.000112
6.6e-06,0,0.000115
1.8e-05,0,0.000118
1.23e-05,0,0.000121
9e-07,0,0.000124
9e-07,0,0.000127
9e-07,0,0.00013
9e-07,0,0.000133
9e-07,0,0.000136
9e-07,0,0.000139
9e-07,0,0.000142
9e-07,0,0.000145
9e-07,0,0.000148
9e-07,0,0.000151
9e-07,0,0.000154
9e-07,0,0.000157
9e-07,0,0.00016
6.6e-06,0,0.000163
1.8e-05,0,0.000166
1.8e-05,0,0.000169
1.8e-05,0,0.000172
1.8e-05,0,0.000175
1.8e-05,0,0.000178
1.8e-05,0,0.000181
1.8e-05,0,0.000184
6.6e-06,0,0.000187
9e-07,0,0.00019
9e-07,0,0.000193
9e-07,0,0.000196
1.23e-05,0,0.000199
1.8e-05,0,0.000202
1.8e-05,0,0.000205
1.8e-05,0,0.000208
1.8e-05,0,0.000211
1.8e-05,0,0.000214
1.8e-05,0,0.000217
1.8e-05,0,0.00022
1.8e-05,0,0.000223
1.8e-05,0,0.000226
1.8e-05,0,0.000229
1.8e-05,0,0.000232
1.8e-05,0,0.000235
1.8e-05,0,0.000238
1.8e-05,0,0.000241
1.8e-05,0,0.000244
1.8e-05,0,0.000247
1.8e-05,0,0.00025
6.6e-06,0,0.000253
9e-07,0,0.000256
9e-07,0,0.000259
9e-07,0,0.000262
9e-07,0,0.000265
9e-07,0,0.000268
1.8e-05,0,0.000271
1.8e-05,0,0.000274
1.8e-05,0,0.000277
1.8e-05,0,0.00028
1.8e-05,0,0.000283
1.8e-05,0,0.000286
1.8e-05,0,0.000289
1.8e-05,0,0.000292
1.8e-05,0,0.000295
1.8e-05,0,0.000298
1.8e-05,0,0.000301
1.8e-05,0,0.000304
9e-07,0,0.000307
9e-07,0,0.00031
9e-07,0,0.000313
9e-07,0,0.000316
9e-07,0,0.000319
9e-07,0,0.000322
9e-07,0,0.000325
9e-07,0,0.000328
9e-07,0,0.000331
9e-07,0,0.000334
9e-07,0,0.000337
9e-07,0,0.00034
9e-07,0,0.000343
9e-07,0,0.000346
9e-07,0,0.000349
9e-07,0,0.000352
1.23e-05,0,0.000355
1.8e-05,0,0.000358
1.8e-05,0,0.000361
1.8e-05,0,0.000364
1.8e-05,0,0.000367
1.8e-05,0,0.00037
1.8e-05,0,0.000373
1.8e-05,0,0.000376
1.8e-05,0,0.000379
1.8e-05,0,0.000382
1.8e-05,0,0.000385
1.8e-05,0,0.000388
1.8e-05,0,0.000391
1.8e-05,0,0.000394
1.8e-05,0,0.000397
1.8e-05,0,0.0004
1.8e-05,0,0.000403
1.8e-05,0,0.000406
1.8e-05,0,0.000409
1.8e-05,0,0.000412
1.8e-05,0,0.000415
1.8e-05,0,0.000418
1.8e-05,0,0.000421
1.8e-05,0,0.000424
1.8e-05,0,0.000427
1.8e-05,0,0.00043
1.8e-05,0,0.000433
1.8e-05,0,0.000436
1.8e-05,0,0.000439
1.8e-05,0,0.000442
1.8e-05,0,0.000445
1.8e-05,0,0.000448
1.8e-05,0,0.000451
1.8e-05,0,0.000454
1.8e-05,0,0.000457
1.8e-05,0,0.00046
9e-07,0,0.000463
9e-07,0,0.000466
9e-07,0,0.000469
9e-07,0,0.000472
9e-07,0,0.000475
9e-07,0,0.000478
9e-07,0,0.000481
9e-07,0,0.000484
9e-07,0,0.000487
9e-07,0,0.00049
9e-07,0,0.000493
9e-07,0,0.000496
